epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.666,1.60021,1.36263,1.05181,0.45319,0.28777,0.28807,0.14974,1.47974,0.99628,0.98834,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257
2,1137.48,1.55845,1.04407,1.02299,0.4398,0.30572,0.31,0.16051,1.45406,0.93427,0.98753,0.0197997,0.00659991,0.0197997,0.00659991,0.0197997,0.00659991,0.0197997,0.00659991
3,1657.06,1.56651,1.04143,1.02702,0.56108,0.30436,0.31514,0.16395,1.44581,0.90613,0.98515,0.0294038,0.00980125,0.0294038,0.00980125,0.0294038,0.00980125,0.0294038,0.00980125
4,2175.93,1.54448,1.01091,1.02152,0.56303,0.33723,0.34627,0.18243,1.41431,0.86132,0.97375,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2699,1.50921,0.96739,1.00732,0.59635,0.34978,0.36569,0.19316,1.39314,0.83833,0.96666,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3220.38,1.49023,0.94378,0.99984,0.61664,0.35756,0.37738,0.20164,1.38147,0.82403,0.96055,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3740.82,1.4772,0.92913,0.99476,0.62252,0.36162,0.38573,0.20699,1.37157,0.81043,0.95699,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4253.7,1.46767,0.92076,0.99116,0.63449,0.3658,0.39461,0.21238,1.36441,0.80087,0.95364,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4769.59,1.45971,0.90922,0.9886,0.52673,0.37478,0.39878,0.21463,1.35899,0.79364,0.95168,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5283.93,1.45615,0.90404,0.98555,0.54598,0.36908,0.40278,0.21793,1.35525,0.7884,0.94989,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5795.83,1.44922,0.89727,0.98355,0.55377,0.37285,0.40614,0.21961,1.35187,0.78446,0.94849,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6310.19,1.44448,0.89325,0.98187,0.54415,0.37662,0.40781,0.22123,1.34979,0.7812,0.9476,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6824.79,1.44158,0.88865,0.97992,0.54787,0.37699,0.40912,0.22223,1.34837,0.77878,0.94697,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7339.07,1.43986,0.88595,0.97933,0.55531,0.37397,0.41138,0.22355,1.34678,0.7767,0.94627,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
